| lambda |  Flux   |  F_Er   |F_Norm_Er|
| double | double  | double  | double  |
| micron |   Jy    |   Jy    |    Jy   |
  2.46175   6.35000   0.04000   0.04000 
  2.46200   6.34000   0.04000   0.04000 
  2.46225   6.33000   0.04000   0.04000 
  2.46250   6.32000   0.04000   0.04000 
  2.46275   6.31000   0.04000   0.04000 
  2.46300   6.31000   0.04000   0.04000 
  2.46325   6.30000   0.04000   0.04000 
  2.46350   6.30000   0.04000   0.04000 
  2.46375   6.29000   0.04000   0.04000 
  2.46400   6.29000   0.04000   0.04000 
  2.46425   6.29000   0.04000   0.04000 
  2.46450   6.29000   0.04000   0.04000 
  2.46475   6.29000   0.04000   0.04000 
  2.46500   6.29000   0.04000   0.04000 
  2.46525   6.29000   0.04000   0.04000 
  2.46550   6.29000   0.04000   0.04000 
  2.46575   6.29000   0.04000   0.04000 
  2.46600   6.30000   0.04000   0.04000 
  2.46625   6.30000   0.04000   0.04000 
  2.46650   6.30000   0.04000   0.04000 
  2.46675   6.31000   0.04000   0.04000 
  2.46700   6.31000   0.04000   0.04000 
  2.46725   6.32000   0.04000   0.04000 
  2.46750   6.33000   0.04000   0.04000 
  2.46775   6.34000   0.04000   0.04000 
  2.46800   6.36000   0.04000   0.04000 
  2.46825   6.37000   0.04000   0.04000 
  2.46850   6.38000   0.04000   0.04000 
  2.46875   6.39000   0.04000   0.04000 
  2.46900   6.40000   0.04000   0.04000 
  2.46925   6.40000   0.04000   0.04000 
  2.46950   6.41000   0.04000   0.04000 
  2.46975   6.41000   0.04000   0.04000 
  2.47000   6.42000   0.04000   0.04000 
  2.47025   6.42000   0.04000   0.04000 
  2.47050   6.43000   0.04000   0.04000 
  2.47075   6.44000   0.04000   0.04000 
  2.47100   6.45000   0.04000   0.04000 
  2.47125   6.46000   0.04000   0.04000 
  2.47150   6.47000   0.04000   0.04000 
  2.47175   6.48000   0.04000   0.04000 
  2.47200   6.49000   0.04000   0.04000 
  2.47225   6.50000   0.04000   0.04000 
  2.47250   6.50000   0.04000   0.04000 
  2.47275   6.51000   0.04000   0.04000 
  2.47300   6.51000   0.04000   0.04000 
  2.47325   6.52000   0.04000   0.04000 
  2.47350   6.52000   0.04000   0.04000 
  2.47375   6.51000   0.04000   0.04000 
  2.47400   6.50000   0.04000   0.04000 
  2.47425   6.49000   0.04000   0.04000 
  2.47450   6.48000   0.04000   0.04000 
  2.47475   6.46000   0.04000   0.04000 
  2.47500   6.45000   0.04000   0.04000 
  2.47525   6.44000   0.04000   0.04000 
  2.47550   6.43000   0.04000   0.04000 
  2.47575   6.42000   0.04000   0.04000 
  2.47600   6.41000   0.04000   0.04000 
  2.47625   6.41000   0.04000   0.04000 
  2.47650   6.40000   0.04000   0.04000 
  2.47675   6.40000   0.04000   0.04000 
  2.47700   6.40000   0.04000   0.04000 
  2.47725   6.39000   0.04000   0.04000 
  2.47750   6.39000   0.04000   0.04000 
  2.47775   6.39000   0.04000   0.04000 
  2.47800   6.38000   0.04000   0.04000 
  2.47825   6.38000   0.04000   0.04000 
  2.47850   6.38000   0.04000   0.04000 
  2.47875   6.37000   0.04000   0.04000 
  2.47900   6.37000   0.04000   0.04000 
  2.47925   6.37000   0.04000   0.04000 
  2.47950   6.36000   0.04000   0.04000 
  2.47975   6.36000   0.04000   0.04000 
  2.48000   6.36000   0.04000   0.04000 
  2.48025   6.35000   0.04000   0.04000 
  2.48050   6.35000   0.04000   0.04000 
  2.48075   6.35000   0.04000   0.04000 
  2.48100   6.34000   0.04000   0.04000 
  2.48125   6.34000   0.04000   0.04000 
  2.48150   6.33000   0.04000   0.04000 
  2.48175   6.32000   0.04000   0.04000 
  2.48200   6.32000   0.04000   0.04000 
  2.48225   6.31000   0.04000   0.04000 
  2.48250   6.30000   0.04000   0.04000 
  2.48275   6.29000   0.04000   0.04000 
  2.48300   6.28000   0.04000   0.04000 
  2.48325   6.27000   0.04000   0.04000 
  2.48350   6.27000   0.04000   0.04000 
  2.48375   6.27000   0.04000   0.04000 
  2.48400   6.27000   0.04000   0.04000 
  2.48425   6.27000   0.04000   0.04000 
  2.48450   6.28000   0.04000   0.04000 
  2.48475   6.28000   0.04000   0.04000 
  2.48500   6.29000   0.04000   0.04000 
  2.48525   6.30000   0.04000   0.04000 
  2.48550   6.31000   0.04000   0.04000 
  2.48575   6.31000   0.04000   0.04000 
  2.48600   6.32000   0.04000   0.04000 
  2.48625   6.32000   0.04000   0.04000 
  2.48650   6.33000   0.04000   0.04000 
  2.48675   6.33000   0.04000   0.04000 
  2.48700   6.33000   0.04000   0.04000 
  2.48725   6.33000   0.04000   0.04000 
  2.48750   6.32000   0.04000   0.04000 
  2.48775   6.31000   0.04000   0.04000 
  2.48800   6.30000   0.04000   0.04000 
  2.48825   6.29000   0.04000   0.04000 
  2.48850   6.29000   0.04000   0.04000 
  2.48875   6.28000   0.04000   0.04000 
  2.48900   6.28000   0.04000   0.04000 
  2.48925   6.27000   0.04000   0.04000 
  2.48950   6.27000   0.04000   0.04000 
  2.48975   6.28000   0.04000   0.04000 
  2.49000   6.28000   0.04000   0.04000 
  2.49025   6.28000   0.04000   0.04000 
  2.49050   6.29000   0.04000   0.04000 
  2.49075   6.29000   0.04000   0.04000 
  2.49100   6.29000   0.04000   0.04000 
  2.49125   6.29000   0.04000   0.04000 
  2.49150   6.29000   0.04000   0.04000 
  2.49175   6.29000   0.04000   0.04000 
  2.49200   6.29000   0.04000   0.04000 
  2.49225   6.29000   0.04000   0.04000 
  2.49250   6.29000   0.04000   0.04000 
  2.49275   6.30000   0.04000   0.04000 
  2.49300   6.30000   0.04000   0.04000 
  2.49325   6.31000   0.04000   0.04000 
  2.49350   6.32000   0.04000   0.04000 
  2.49375   6.34000   0.04000   0.04000 
  2.49400   6.35000   0.04000   0.04000 
  2.49425   6.37000   0.04000   0.04000 
  2.49450   6.38000   0.04000   0.04000 
  2.49475   6.40000   0.04000   0.04000 
  2.49500   6.41000   0.04000   0.04000 
  2.49525   6.43000   0.04000   0.04000 
  2.49550   6.44000   0.04000   0.04000 
  2.49575   6.45000   0.04000   0.04000 
  2.49600   6.47000   0.04000   0.04000 
  2.49625   6.48000   0.04000   0.04000 
  2.49650   6.48000   0.04000   0.04000 
  2.49675   6.49000   0.04000   0.04000 
  2.49700   6.48000   0.04000   0.04000 
  2.49725   6.48000   0.04000   0.04000 
  2.49750   6.47000   0.04000   0.04000 
  2.49775   6.45000   0.04000   0.04000 
  2.49800   6.43000   0.04000   0.04000 
  2.49825   6.41000   0.04000   0.04000 
  2.49850   6.40000   0.04000   0.04000 
  2.49875   6.38000   0.04000   0.04000 
  2.49900   6.37000   0.04000   0.04000 
  2.49925   6.36000   0.04000   0.04000 
  2.49950   6.35000   0.04000   0.04000 
  2.49975   6.35000   0.04000   0.04000 
  2.50000   6.35000   0.04000   0.04000 
  2.50025   6.35000   0.04000   0.04000 
  2.50050   6.34000   0.04000   0.04000 
  2.50075   6.34000   0.04000   0.04000 
  2.50100   6.34000   0.04000   0.04000 
  2.50125   6.34000   0.04000   0.04000 
  2.50150   6.35000   0.04000   0.04000 
  2.50175   6.35000   0.04000   0.04000 
  2.50200   6.36000   0.04000   0.04000 
  2.50225   6.38000   0.04000   0.04000 
  2.50250   6.39000   0.04000   0.04000 
  2.50275   6.41000   0.04000   0.04000 
  2.50300   6.43000   0.04000   0.04000 
  2.50325   6.45000   0.04000   0.04000 
  2.50350   6.46000   0.04000   0.04000 
  2.50375   6.47000   0.04000   0.04000 
  2.50400   6.47000   0.04000   0.04000 
  2.50425   6.48000   0.04000   0.04000 
  2.50450   6.47000   0.04000   0.04000 
  2.50475   6.47000   0.04000   0.04000 
  2.50500   6.47000   0.04000   0.04000 
  2.50525   6.46000   0.04000   0.04000 
  2.50550   6.46000   0.04000   0.04000 
  2.50575   6.45000   0.04000   0.04000 
  2.50600   6.45000   0.04000   0.04000 
  2.50625   6.45000   0.04000   0.04000 
  2.50650   6.45000   0.04000   0.04000 
  2.50675   6.45000   0.04000   0.04000 
  2.50700   6.46000   0.04000   0.04000 
  2.50725   6.46000   0.04000   0.04000 
  2.50750   6.46000   0.04000   0.04000 
  2.50775   6.47000   0.04000   0.04000 
  2.50800   6.47000   0.04000   0.04000 
  2.50825   6.47000   0.04000   0.04000 
  2.50850   6.47000   0.04000   0.04000 
  2.50875   6.48000   0.04000   0.04000 
  2.50900   6.48000   0.04000   0.04000 
  2.50925   6.48000   0.04000   0.04000 
  2.50950   6.48000   0.04000   0.04000 
  2.50975   6.48000   0.04000   0.04000 
  2.51000   6.48000   0.04000   0.04000 
  2.51025   6.48000   0.04000   0.04000 
  2.51050   6.47000   0.04000   0.04000 
  2.51075   6.47000   0.04000   0.04000 
  2.51100   6.46000   0.04000   0.04000 
  2.51125   6.45000   0.04000   0.04000 
  2.51150   6.44000   0.04000   0.04000 
  2.51175   6.43000   0.04000   0.04000 
  2.51200   6.42000   0.04000   0.04000 
  2.51225   6.41000   0.04000   0.04000 
  2.51250   6.40000   0.04000   0.04000 
  2.51275   6.39000   0.04000   0.04000 
  2.51300   6.39000   0.04000   0.04000 
  2.51325   6.38000   0.04000   0.04000 
  2.51350   6.37000   0.04000   0.04000 
  2.51375   6.37000   0.04000   0.04000 
  2.51400   6.36000   0.04000   0.04000 
  2.51425   6.35000   0.04000   0.04000 
  2.51450   6.35000   0.04000   0.04000 
  2.51475   6.34000   0.04000   0.04000 
  2.51500   6.33000   0.04000   0.04000 
  2.51525   6.32000   0.04000   0.04000 
  2.51550   6.31000   0.04000   0.04000 
  2.51575   6.30000   0.04000   0.04000 
